Date,Day,Base_Revenue,Event_Multiplier,Final_Revenue,Event_Boost,Grant_Park_North,Grant_Park_South,Millennium,Lakeside,Events
2025-08-02,Saturday,74934,1.37,102659,27725,33159,13448,7802,19813,Beauty & The Beast; Lollapolooza; Millennium Park Outdoor Public
2025-08-03,Sunday,71348,1.37,97747,26399,31572,12805,7429,18865,Lollapolooza; Live On the Lake!
2025-08-04,Monday,48361,1.26,60935,12574,19682,7982,4631,11760,Millennium Park Summer Music S; Barack Obama Day (observed)
2025-08-05,Tuesday,45935,1.00,45935,0,14837,6017,3491,8865,Millennium Park Summer Film Se; Death Cab for Cutie; Parade
2025-08-06,Wednesday,47514,1.17,55592,8077,17956,7283,4225,10729,Death Cab for Cutie; Parade; Joshua Bell and Tchaikovsky Ro
2025-08-07,Thursday,53478,1.08,57757,4278,18655,7566,4390,11147,Parade; Millennium Park Summer Music S; Wait Wait… Don’t Tell Me!
2025-08-08,Friday,54933,1.17,64272,9339,20760,8420,4885,12404,Parade; Live On the Lake!; Stravinsky Firebird
