Date,Day,Base_Revenue,Event_Multiplier,Final_Revenue,Event_Boost,Grant_Park_North,Grant_Park_South,Millennium,Lakeside,Events
2025-08-02,Saturday,74934,1.67,125193,50260,40437,16400,9515,24162,Beauty & The Beast; Lollapolooza; Millennium Park Outdoor Public
2025-08-03,Sunday,71348,1.67,119203,47855,38503,15616,9059,23006,Lollapolooza; Live On the Lake!
2025-08-04,Monday,48361,1.40,67705,19344,21869,8869,5146,13067,Millennium Park Summer Music S; Barack Obama Day (observed)
2025-08-05,Tuesday,45935,1.10,50529,4594,16321,6619,3840,9752,Millennium Park Summer Film Se; Death Cab for Cutie; Parade
2025-08-06,Wednesday,47514,1.30,61769,14254,19951,8092,4694,11921,Death Cab for Cutie; Parade; Joshua Bell and Tchaikovsky Ro
2025-08-07,Thursday,53478,1.20,64174,10696,20728,8407,4877,12386,Parade; Millennium Park Summer Music S; Wait Wait… Don’t Tell Me!
2025-08-08,Friday,54933,1.30,71413,16480,23066,9355,5427,13783,Parade; Live On the Lake!; Stravinsky Firebird
