Date,Day,Base_Total,Weather_Adj,Events_Adj,Final_Total,Garage_A_Base,Garage_A_Final,Garage_B_Base,Garage_B_Final,Garage_C_Base,Garage_C_Final,Garage_D_Base,Garage_D_Final,Garage_E_Base,Garage_E_Final,High_Temp,Low_Temp,Condition,Precipitation,Major_Events
2025-08-02,Saturday,136892.28,1.0,1.05,143736.89,44206.71,46417.05,17923.21,18819.37,10459.42,10982.39,26565.24,27893.5,4845.23,5087.49,,,,,Millennium Park Outdoor Public Art Walking Tour; Live On the Lake!
2025-08-03,Sunday,116592.44,1.0,1.0,116592.44,37667.03,37667.03,13635.6,13635.6,9632.7,9632.7,19659.16,19659.16,3867.92,3867.92,,,,,Live On the Lake!
2025-08-04,Monday,75114.33,1.0,1.772,133093.2,24964.99,44234.84,9068.49,16068.23,6747.37,11955.49,12794.92,22671.01,3227.46,5718.66,,,,,"Millennium Park Summer Music Series:
Orchestra Resavoir
Isaiah Collier
DJs Sonny Daze & King Hippo; Barack Obama Day (observed)"
2025-08-05,Tuesday,67311.49,1.0,1.158,77921.46,21265.03,24616.93,8945.68,10355.75,8662.44,10027.86,10979.74,12710.42,3245.31,3756.85,,,,,"Millennium Park Summer Film Series:
My Best Friend’s Wedding; Death Cab for Cutie"
2025-08-06,Wednesday,74095.81,1.0,1.213,89859.69,22293.07,27035.93,10019.73,12151.43,9184.13,11138.05,12693.62,15394.19,3584.25,4346.8,,,,,Joshua Bell and Tchaikovsky Romeo & Juliet; Men I Trust
2025-08-07,Thursday,81442.37,1.0,1.103,89790.22,25851.65,28501.45,11627.08,12818.86,7308.48,8057.6,14325.05,15793.37,3731.0,4113.43,,,,,"Millennium Park Summer Music Series Ends:
Ten City
Caramelo Haze
DJ Emmaculate; Wait Wait… Don’t Tell Me!"
2025-08-08,Friday,90465.42,1.0,1.05,94988.69,31100.63,32655.66,11052.14,11604.75,6506.56,6831.89,17934.5,18831.22,3713.83,3899.53,,,,,Live On the Lake!; Stravinsky Firebird
