Date,Day,Base_Revenue,Event_Count,Event_Multiplier,Weather_High,Weather_Low,Weather_Condition,Weather_Precipitation,Weather_Multiplier,Final_Revenue,Grant_Park_North,Lakeside,Grant_Park_South,Millennium
2025-08-05,Tuesday,45935,0,1.0,82.56,65.03,overcast clouds,0,0.9770599999999999,44881.251099999994,14496.644105299998,8662.081462299999,5879.4438941,3410.9750835999994
2025-08-06,Wednesday,47514,0,1.0,85.68,69.8,clear sky,0,0.98,46563.72,15040.08156,8986.79796,6099.847320000001,3538.84272
2025-08-07,Thursday,53478,0,1.0,89.24,72.57,broken clouds,0,0.9770599999999999,52251.21468,16877.14234164,10084.484433239999,6844.9091230799995,3971.0923156799995
2025-08-08,Friday,54933,0,1.0,92.43,75.09,overcast clouds,0,0.9770599999999999,53672.83697999999,17336.326344539997,10358.857537139998,7031.141644379999,4079.1356104799993
2025-08-09,Saturday,74934,0,1.0,87.03,74.86,scattered clouds,0,0.9770599999999999,73215.01404,23648.44953492,14130.497709719999,9591.166839239999,5564.34106704
2025-08-10,Sunday,71348,0,1.0,,,,0,1.0,71348.0,23045.404000000002,13770.164,9346.588,5422.447999999999
2025-08-11,Monday,48361,0,1.0,,,,0,1.0,48361.0,15620.603000000001,9333.673,6335.291,3675.4359999999997
