Date,Day,Base_Revenue,Event_Count,Event_Multiplier,Weather_High,Weather_Low,Weather_Condition,Weather_Precipitation,Weather_Multiplier,Final_Revenue,Grant_Park_North,Lakeside,Grant_Park_South,Millennium
2025-08-05,Tuesday,45935,3,1.1,82.56,65.03,overcast clouds,0,0.9770599999999999,49369.37621,15946.308515830002,9528.28960853,6467.38828351,3752.07259196
2025-08-06,Wednesday,47514,4,1.3,85.68,69.8,clear sky,0,0.98,60532.836,19552.106028000002,11682.837348000001,7929.801516,4600.495536
2025-08-07,Thursday,53478,2,1.2,89.24,72.57,broken clouds,0,0.9770599999999999,62701.45761599999,20252.570809967998,12101.381319887998,8213.890947696,4765.310778816
2025-08-08,Friday,54933,2,1.3,92.43,75.09,overcast clouds,0,0.9770599999999999,69774.688074,22537.224247902002,13466.514798282002,9140.484137694,5302.876293624
2025-08-09,Saturday,74934,7,1.3,87.03,74.86,scattered clouds,0,0.9770599999999999,95179.518252,30742.984395396,18369.647022636,12468.516891012,7233.643387151999
2025-08-10,Sunday,71348,1,1.3,,,,0,1.0,92752.40000000001,29959.025200000004,17901.213200000002,12150.564400000001,7049.182400000001
2025-08-11,Monday,48361,1,1.4,,,,0,1.0,67705.4,21868.8442,13067.142199999998,8869.4074,5145.6104
