Date,Day,Base_Forecast,Weather_Adj,Event_Adj,Final_Prediction
2025-07-30,Wednesday,72953.4,1.05,1.0,76601.07
2025-07-31,Thursday,80092.28,1.05,1.0,84096.9
2025-08-01,Friday,88831.04,0.892,1.0,79281.7
2025-08-02,Saturday,136892.28,1.0,1.35,184804.57
2025-08-03,Sunday,116592.44,1.1,1.25,160314.61
2025-08-04,Monday,75114.33,1.1,1.2,99150.91
2025-08-05,Tuesday,67311.49,1.05,1.0,70677.06
