Date,Day,Base_Forecast,Weather_Adj,Events_Adj,Final_Prediction,High_Temp,Low_Temp,Condition,Precipitation,Events_Count,Major_Events
2025-07-30,Wednesday,72953.4,1.0,1.0,72953.4,,,,,0,
2025-07-31,Thursday,80092.28,1.0,1.0,80092.28,,,,,0,
2025-08-01,Friday,88831.04,1.0,1.0,88831.04,,,,,0,
2025-08-02,Saturday,136892.28,1.0,1.0,136892.28,,,,,0,
2025-08-03,Sunday,116592.44,1.0,1.0,116592.44,,,,,0,
2025-08-04,Monday,75114.33,1.0,1.0,75114.33,,,,,0,
2025-08-05,Tuesday,67311.49,1.0,1.0,67311.49,,,,,0,
